id,timestamp,shard,load,expected_end_time,actual_end_time,delay
0,0.01,231,0.092,0.102,0.102,0.0
1,0.04,311,0.25,0.29,0.29,0.0
2,0.045,400,0.001,0.046,0.046,0.0
3,0.06,253,1.069,1.129,1.129,0.0
4,0.09,45,0.14,0.23,0.23,0.0
6,0.095,178,0.059,0.154,0.154,0.0
5,0.095,572,0.455,0.55,0.55,0.0
7,0.12,280,0.725,0.845,0.845,0.0
8,0.12,290,0.235,0.355,0.355,0.0
9,0.22,566,0.159,0.379,0.379,0.0
10,0.25,271,1.031,1.281,1.281,0.0
11,0.255,147,0.504,0.759,0.759,0.0
12,0.345,243,0.16,0.505,0.505,0.0
13,0.36,584,0.001,0.361,0.361,0.0
14,0.365,313,0.34,0.705,0.705,0.0
15,0.415,326,0.111,0.526,0.526,0.0
16,0.445,390,0.016,0.461,0.461,0.0
18,0.46,113,0.046,0.506,0.506,0.0
19,0.48,266,0.534,1.014,1.014,0.0
20,0.51,188,0.238,0.748,0.748,0.0
21,0.52,416,0.186,0.706,0.706,0.0
22,0.54,445,0.001,0.541,0.541,0.0
17,0.55,554,0.368,0.823,0.918,0.095
23,0.57,556,0.228,0.798,0.798,0.0
24,0.6,439,0.095,0.695,0.695,0.0
25,0.76,134,0.4,1.16,1.16,0.0
26,1.07,72,0.263,1.333,1.333,0.0
27,1.31,184,0.022,1.332,1.332,0.0
28,1.37,95,0.014,1.384,1.384,0.0
29,1.585,447,0.298,1.883,1.883,0.0
30,1.625,256,0.055,1.68,1.68,0.0
31,2.1,340,0.08,2.18,2.18,0.0
32,2.645,565,1.076,3.721,3.721,0.0
34,5.02,302,0.066,5.086,5.086,0.0
33,5.02,292,0.005,5.025,5.025,0.0
36,5.035,135,0.005,5.04,5.04,0.0
35,5.035,568,0.218,5.253,5.253,0.0
37,5.045,444,0.261,5.306,5.306,0.0
38,5.05,486,0.043,5.093,5.093,0.0
39,5.07,231,0.13,5.2,5.2,0.0
40,5.075,428,0.075,5.15,5.15,0.0
41,5.135,255,0.423,5.558,5.558,0.0
42,5.145,443,0.254,5.399,5.399,0.0
43,5.16,179,0.05,5.21,5.21,0.0
44,5.175,506,0.804,5.979,5.979,0.0
45,5.185,222,0.16,5.345,5.345,0.0
46,5.22,38,0.015,5.235,5.235,0.0
47,5.23,443,0.774,6.004,6.004,0.0
48,5.235,272,0.284,5.519,5.519,0.0
49,5.255,222,0.763,6.018,6.018,0.0
50,5.265,260,0.478,5.743,5.743,0.0
51,5.275,357,0.118,5.393,5.393,0.0
53,5.29,248,0.344,5.634,5.634,0.0
54,5.306,462,0.003,5.308,5.309,0.001
55,5.325,406,0.072,5.397,5.397,0.0
56,5.35,167,0.007,5.357,5.357,0.0
58,5.4,457,0.073,5.473,5.473,0.0
59,5.425,380,0.211,5.636,5.636,0.0
62,5.54,421,0.244,5.784,5.784,0.0
52,5.558,109,0.116,5.396,5.674,0.278
63,5.56,118,0.377,5.937,5.937,0.0
64,5.575,175,0.463,6.038,6.038,0.0
66,5.625,325,0.788,6.413,6.413,0.0
