node,shard
1,70
1,28
1,489
1,541
1,286
1,468
1,408
1,300
1,153
1,143
1,494
1,571
1,265
1,111
1,586
1,293
1,318
1,65
1,173
1,501
1,519
1,349
1,195
1,223
1,400
1,272
1,53
1,576
1,98
1,152
1,294
1,193
1,77
1,93
1,598
1,46
1,279
1,34
1,496
1,258
1,162
1,549
1,212
1,441
1,333
1,196
1,458
1,32
1,375
1,177
1,556
1,191
1,25
1,438
1,239
1,158
1,278
1,324
1,106
1,103
1,326
1,17
1,310
1,567
1,262
1,437
1,420
1,429
1,582
1,246
1,141
1,69
1,211
1,596
1,445
1,463
1,397
1,48
1,456
1,436
1,79
1,174
1,404
1,371
1,388
1,281
1,44
1,168
1,8
1,66
1,334
1,308
1,85
1,457
1,306
1,73
1,464
1,573
1,182
1,477
2,312
2,101
2,189
2,453
2,232
2,585
2,7
2,237
2,263
2,599
2,250
2,164
2,305
2,525
2,360
2,132
2,355
2,231
2,176
2,340
2,285
2,424
2,526
2,520
2,13
2,2
2,296
2,448
2,480
2,110
2,117
2,309
2,426
2,446
2,472
2,382
2,427
2,352
2,57
2,194
2,304
2,108
2,122
2,254
2,328
2,224
2,500
2,192
2,380
2,485
2,498
2,342
2,593
2,92
2,385
2,95
2,234
2,277
2,119
2,81
2,155
2,89
2,390
2,461
2,327
2,495
2,115
2,565
2,242
2,398
2,392
2,99
2,288
2,167
2,184
2,583
2,403
2,127
2,435
2,577
2,267
2,147
2,401
2,297
2,274
2,198
2,60
2,451
2,518
2,61
2,568
2,535
2,165
2,261
2,416
2,140
2,120
2,303
2,204
2,12
3,218
3,411
3,443
3,130
3,283
3,62
3,11
3,82
3,515
3,433
3,350
3,517
3,474
3,51
3,180
3,35
3,109
3,482
3,58
3,243
3,229
3,493
3,487
3,253
3,459
3,112
3,273
3,36
3,15
3,215
3,432
3,395
3,536
3,161
3,221
3,592
3,490
3,27
3,512
3,346
3,185
3,488
3,538
3,100
3,539
3,337
3,26
3,344
3,241
3,313
3,574
3,476
3,280
3,71
3,511
3,219
3,376
3,290
3,554
3,419
3,557
3,399
3,378
3,504
3,38
3,67
3,405
3,227
3,131
3,362
3,175
3,228
3,275
3,150
3,213
3,102
3,594
3,561
3,76
3,226
3,514
3,148
3,24
3,114
3,563
3,439
3,178
3,156
3,483
3,39
3,330
3,547
3,584
3,171
3,597
3,368
3,510
3,220
3,249
3,521
4,139
4,59
4,450
4,3
4,209
4,251
4,88
4,523
4,505
4,354
4,200
4,107
4,30
4,414
4,359
4,559
4,18
4,455
4,425
4,316
4,64
4,282
4,590
4,125
4,566
4,21
4,188
4,208
4,507
4,470
4,335
4,486
4,270
4,105
4,289
4,353
4,319
4,548
4,384
4,555
4,37
4,466
4,298
4,20
4,311
4,513
4,475
4,113
4,415
4,121
4,292
4,387
4,86
4,276
4,133
4,203
4,527
4,190
4,199
4,248
4,6
4,149
4,522
4,179
4,146
4,205
4,4
4,537
4,379
4,317
4,22
4,336
4,363
4,452
4,128
4,50
4,442
4,508
4,315
4,332
4,506
4,588
4,295
4,252
4,369
4,393
4,502
4,43
4,389
4,118
4,271
4,325
4,409
4,1
4,307
4,434
4,301
4,391
4,56
4,144
5,440
5,166
5,84
5,569
5,206
5,484
5,320
5,386
5,564
5,19
5,302
5,430
5,187
5,87
5,444
5,47
5,467
5,163
5,299
5,533
5,222
5,134
5,142
5,532
5,259
5,138
5,509
5,331
5,373
5,377
5,159
5,197
5,181
5,10
5,260
5,33
5,151
5,264
5,600
5,104
5,348
5,40
5,29
5,351
5,216
5,543
5,545
5,170
5,570
5,492
5,479
5,207
5,154
5,595
5,31
5,366
5,256
5,413
5,329
5,214
5,137
5,542
5,347
5,236
5,428
5,530
5,169
5,591
5,230
5,225
5,172
5,589
5,418
5,406
5,268
5,422
5,471
5,116
5,460
5,238
5,478
5,374
5,49
5,578
5,560
5,534
5,553
5,83
5,412
5,356
5,96
5,447
5,68
5,323
5,97
5,23
5,255
5,423
5,381
5,245
6,449
6,202
6,358
6,160
6,129
6,145
6,402
6,210
6,287
6,499
6,269
6,91
6,42
6,552
6,338
6,417
6,235
6,367
6,54
6,244
6,80
6,52
6,339
6,341
6,516
6,314
6,233
6,540
6,186
6,587
6,63
6,481
6,524
6,247
6,135
6,462
6,361
6,291
6,183
6,365
6,550
6,551
6,5
6,45
6,473
6,469
6,136
6,431
6,558
6,579
6,72
6,465
6,562
6,16
6,394
6,217
6,75
6,581
6,407
6,572
6,94
6,531
6,284
6,544
6,322
6,90
6,343
6,383
6,410
6,14
6,454
6,78
6,580
6,201
6,546
6,575
6,123
6,364
6,345
6,55
6,396
6,240
6,357
6,529
6,372
6,421
6,503
6,41
6,491
6,257
6,74
6,9
6,497
6,157
6,124
6,370
6,321
6,528
6,126
6,266
